Designator,Mid X,Mid Y,Rotation,Layer
C1,149.0,-58.5,270.0,top
C10,205.1375,-73.0,180.0,bottom
C11,155.0,-55.5,90.0,bottom
C12,188.75,-72.0,180.0,top
C13,193.75,-86.5,0.0,top
C14,184.5,-82.5,270.0,top
C15,201.0,-75.5,180.0,top
C16,165.5,-50.05,270.0,top
C17,153.5,-49.55,90.0,top
C18,149.5,-71.5,90.0,top
C19,165.5,-71.55,90.0,top
C2,159.5,-60.55,270.0,top
C22,150.5,-55.45,90.0,bottom
C23,146.5,-58.45,270.0,top
C25,157.0,-60.55,270.0,top
C26,150.5,-49.55,90.0,top
C27,152.5,-71.5,90.0,top
C28,168.0,-71.55,90.0,top
C29,168.0,-50.05,270.0,top
C3,186.0,-32.55,90.0,top
C30,202.0,-79.1,90.0,top
C31,202.0,-83.55,270.0,top
C32,179.0,-36.675,270.0,top
C33,176.0,-36.725,270.0,top
C4,183.0,-32.55,90.0,top
C6,186.627872,-53.55,180.0,bottom
C7,168.5,-54.5,0.0,bottom
D1,152.5,-85.125,0.0,top
D10,176.0,-75.5,270.0,top
D11,179.0,-75.5,90.0,top
D12,170.5,-47.0,90.0,top
D13,170.5,-43.0225,270.0,top
D14,195.0,-66.0375,90.0,top
D15,195.0,-62.0375,270.0,top
D19,149.0,-53.9125,90.0,top
D2,152.85,-35.0,0.0,top
D20,163.5,-64.5,0.0,top
D21,163.5,-53.5,180.0,top
D22,164.5,-59.0,180.0,top
D23,186.640372,-56.55,180.0,bottom
D24,186.577872,-50.55,180.0,bottom
D25,186.515372,-46.6,180.0,bottom
D26,222.0,-54.05,0.0,top
D28,184.5,-66.175,90.0,top
D29,184.5,-62.175,270.0,top
D3,170.202872,-51.05,0.0,bottom
D30,192.5,-54.5,90.0,top
D31,192.5,-50.5,270.0,top
D4,170.0625,-57.5,0.0,bottom
D5,181.45,-58.0,270.0,bottom
D6,216.9375,-54.05,0.0,top
D7,170.9125,-78.5,0.0,top
D8,171.5375,-33.175,0.0,top
D9,184.5,-50.0875,270.0,top
F1,152.5,-78.0,90.0,top
F2,152.85,-41.5,0.0,top
IC1,177.602872,-51.875,0.0,bottom
IC2,157.049999,-80.9332,0.0,bottom
IC3,157.5,-58.25,90.0,bottom
IC4,152.662,-58.25,180.0,top
IC5,202.0,-64.475,0.0,top
IC6,178.0,-45.0,0.0,top
IC7,191.0,-64.175,0.0,top
IC8,202.0,-53.0,0.0,top
J1,176.5,-65.5,90.0,top
J2,217.025,-73.96,180.0,top
J3,200.0,-37.5,90.0,top
J4,139.5,-59.0,270.0,top
J5,164.0,-79.5,90.0,top
J6,164.35,-38.5,270.0,top
J7,209.5,-59.5,180.0,top
P1,145.54,-41.5,270.0,top
P2,145.5325,-78.0,270.0,top
R1,189.0,-50.0875,90.0,top
R10,155.5865,-54.45,0.0,top
R11,199.0,-76.5,90.0,bottom
R12,202.0,-76.5,270.0,bottom
R13,182.9125,-75.5,90.0,top
R14,160.5,-82.5,90.0,bottom
R15,172.5,-46.9775,90.0,top
R16,172.5,-43.0225,90.0,top
R17,197.5,-66.0375,90.0,top
R18,197.5,-62.0375,90.0,top
R2,174.0875,-57.0,0.0,top
R21,171.5,-36.175,180.0,top
R22,170.9125,-81.5,180.0,top
R23,179.0,-81.0875,90.0,top
R24,176.0,-81.0875,270.0,top
R26,151.9115,-54.45,0.0,top
R27,154.5,-61.5875,270.0,bottom
R28,152.5875,-82.0,180.0,bottom
R29,182.0,-36.5875,90.0,top
R3,174.0875,-59.5,0.0,top
R30,174.0875,-40.175,180.0,top
R31,164.0,-78.0,270.0,bottom
R32,178.0875,-40.175,180.0,top
R33,201.0875,-73.0,0.0,bottom
R34,190.0,-86.5,180.0,top
R35,146.5,-54.0,270.0,top
R36,163.5,-62.0,180.0,top
R37,163.5,-56.0,180.0,top
R38,186.5,-50.0875,90.0,top
R4,160.5,-78.0875,90.0,bottom
R40,187.0,-66.0875,90.0,top
R41,187.0,-62.175,90.0,top
R42,195.5,-54.5,90.0,top
R43,195.5,-50.4375,90.0,top
R5,199.5,-85.5,90.0,top
R6,197.0,-85.5875,90.0,top
R7,158.5,-53.0,90.0,bottom
R8,152.499,-62.5,270.0,top
R9,154.5,-65.5,270.0,bottom
RV1,157.4525,-79.225,270.0,top
RV2,158.35,-40.5,90.0,top
SW1,181.04,-57.865,180.0,top
SW2,219.5,-60.0,180.0,top
SW3,206.5,-76.0,180.0,top
U1,159.5,-48.05,180.0,top
U2,158.85,-70.05,180.0,top
U3,191.25,-78.8375,90.0,top
U4,185.15,-42.0,0.0,top
Y1,206.5,-81.5125,90.0,top
